Wahlbezirk,Straße,Hausnummern
4103,Hans-Thoma-Str.,"ung. 1-7, 11, 13, ger. 2-6A,, 12,14"
4103,Hebbelstr.,"1-1D, 2"
4103,Holzmarktstr.,alle
4103,Kurfürstenstr.,32-35
4103,Leiblstr.,3-12
4104,Türkstr.,alle
4104,Am Kanal,54-74
4104,Brauerstr.,4-7
4104,Burgstr.,alle
4104,Eltesterstr.,alle
4104,Freundschaftsinsel,alle
4104,Große Fischerstr.,alle
4104,Heilig-Geist-Str.,alle
4104,Kleine Fischerstr.,alle
4104,Brandenburger Str.,1-14
4104,Breite Str.,7-23
4104,Charlottenstr.,"1-15, 116-128"
4104,Charlottenstr.,117
4104,Dortustr.,36-45
4104,Hermann-Elflein-Str.,15-24
4104,Kiezstr.,alle
4104,Lindenstr.,17-34A
4105,Schopenhauerstr.,5-13
4105,Brandenburger Str.,48-72
4105,Dortustr.,"1-17, 58-74"
4105,Friedrich-Ebert-Str.,72-92
4105,Gutenbergstr.,"1-25, 87-102"
4105,Hegelallee,"1-10, 44-57"
4105,Helene-Lange-Str.,10A-19
4105,Hermann-Elflein-Str.,"8-14, 25-31"
4105,Jägerallee,1-16
4105,Jägerstr.,"1-16, 33-42"
4105,Lindenstr.,"11-16, 52-66"
4105,Schopenhauerstr.,14-18
4105,Am Bassin,alle
4105,Am Kanal,7-18
4105,Brandenburger Str.,28A-47A
4105,Charlottenstr.,40-93
4105,Französische Str.,alle
4105,Friedrich-Ebert-Str.,"8-19, 93-104"
4105,Gutenbergstr.,26-32
4105,Im Französischen Quartier,alle
4105,Jägerstr.,22-32
4105,Platz der Einheit,alle
4105,Posthofstr.,alle
4105,Bäckerstr.,alle
4105,Brandenburger Str.,25-28
4105,Charlottenstr.,"16-34, 94-115"
4105,Dortustr.,18-35
4105,Dortustr.,47-57
4105,Ebräerstr.,alle
4105,Friedrich-Ebert-Str.,105-115
4105,Im Nikolaiquartier,alle
4105,Jägerstr.,17-21
4105,Kleine Gasse,alle
4105,Lindenstr.,35-51
4105,Spornstr.,alle
4105,Wilhelm-Staab-Str.,alle
4106,Yorckstr.,2-16
4106,Alter Markt,alle
4106,Am Alten Markt,alle
4106,Am Kanal,47-53
4106,Am Lustgartenwall,alle
4106,Am Neuen Markt,alle
4106,Brauerstr.,1
4106,Brauerstr.,2
4106,Breite Str.,1-6
4106,Dortustr.,"45A, 46, 46A"
4106,Friedrich-Ebert-Str.,"4-7, 116-125"
4106,GA Hinzenberg,alle
4109,H.-v.-Tresckow-Str.,alle
4109,Am Bassin,alle
4109,Am Kanal,7-18
4109,Brandenburger Str.,28A-47A
4109,Charlottenstr.,40-93
4109,Französische Str.,alle
4109,Friedrich-Ebert-Str.,"8-19, 93-104"
4109,Gutenbergstr.,26-32
4109,Im Französischen Quartier,alle
4109,An der Kornmühle,alle
4109,An der Lokremise,alle
4109,Friedrich-W.-Boelcke-Str.,alle
4109,Leipziger Str.,1-12
4109,Zur Königlichen Hofbrauerei,alle
4109,Jägerstr.,22-32
4109,Platz der Einheit,alle
4207,Posthofstr.,alle
4207,Babelsberger Str.,alle
4207,Eva-Laube-Weg,alle
4207,Friedrich-List-Str.,"14,16"
4207,Havelstr.,alle
4207,Humboldtring,"ung. 1-17, ung. 29-79,, 12, 12A"
4207,Lange Brücke,"1, 2"
4207,Lotte-Pulewka-Str.,"ung. 5-7A, ger. 18-22"
4207,Albert-Einstein-Str.,ger. 2-24
4207,Am Havelblick,alle
4207,Brauhausberg,ung. 1-15
4207,Brauhausberg,"ung. 25-35, ger. 24-36"
4207,Finkenweg,"1-4, 11-16"
4207,Leipziger Str.,51-66
5201,Max-Planck-Str.,alle
5201,Edisonallee,"ung. 1-19, ger. 2-6"
5201,Hans-Marchwitza-Ring,"ung. 31-51, ger. 40-54"
5201,Humboldtring,"ung. 19-27, ger. 32-120"
5201,Allee nach Glienicke,ung. 21-85
5201,Am Böttcherberg,alle
5201,Am Waldrand,alle
5201,An der Sternwarte,alle
